ID,Location1,Location2,Distance_km,Travel_Time_hr
177,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,al. Mickiewicza – Reymonta,4.4679747372269185,0:05:03.596373
178,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,al. Słowackiego – Prądnicka – Długa,5.936776248906722,0:06:49.350081
179,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Beliny-Prażmowskiego – Brodowicza,6.27433015676781,0:07:09.880431
180,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),1.7194938015338008,0:01:49.836686
181,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,1.7726621120150317,0:01:55.442187
182,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Zakopiańska – Wadowicka – Tischnera – Brożka,0.8322743174200558,0:00:59.923751
183,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,3.427468772380386,0:03:24.978336
184,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Bratysławska – Doktora Twardego – Wybickiego,7.27244746749341,0:08:25.518409
185,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Piastowska – Lea,6.461487804107742,0:07:27.129313
186,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Armii Krajowej – Zarzecze,7.72615539923852,0:08:58.185380
187,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,1.0198291016880592,0:01:00.528983
188,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Piastowska – Armii Krajowej – Nawojki,6.212292426219631,0:07:09.187246
189,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Herberta – Turowicza – Trasa Łagiewnicka,2.95391942697934,0:03:08.355031
190,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Witosa – Nowosądecka – Łużycka,4.595411247114501,0:04:41.747237
191,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Wielicka – Nowosądecka,4.558194684478462,0:04:44.035836
192,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Wielicka – Teligi – Kostaneckiego,6.376527866265882,0:06:17.466683
193,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,11.70166340761731,0:11:20.036126
194,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,10.399099714849395,0:09:27.070460
195,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,al. 29 Listopada – Opolska – Lublańska,8.184942728756372,0:08:52.575934
196,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Ks. Józefa – Jodłowa,5.557821132805388,0:06:27.876968
197,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,Zakopiańska – Jugowicka – Zawiła,3.417116854480487,0:03:28.025168
